,open,high,low,last,close,volume,date,symbol,exchange
239,143.39,144.65,143.37,144.11,141.62,130410.0,2020-11-17T02:00:00+0000,TM,IEXG
240,90.74,91.08,90.065,90.43,89.72,35067.0,2020-11-16T20:00:00+0000,SNE,IEXG
241,143.53,144.64,143.42,143.84,141.62,3422.0,2020-11-16T20:00:00+0000,TM,IEXG
242,29.22,29.52,29.195,29.37,28.21,18375.0,2020-11-16T19:00:00+0000,HMC,IEXG
243,4.5,4.55,4.465,4.515,4.34,27110.0,2020-11-16T19:00:00+0000,MUFG,IEXG
244,4.5,4.55,4.465,4.505,4.34,16589.0,2020-11-16T18:00:00+0000,MUFG,IEXG
245,90.74,91.08,90.175,90.31,89.72,21061.0,2020-11-16T17:00:00+0000,SNE,IEXG
246,29.22,29.52,29.195,29.465,28.21,9151.0,2020-11-16T16:00:00+0000,HMC,IEXG
247,6.13,6.13,6.095,6.105,5.96,5158.0,2020-11-16T15:00:00+0000,SMFG,IEXG
248,72.5,75.218,72.5,74.47,71.82,192884.0,2020-11-14T02:00:00+0000,TOELY,IEXG
249,17.71,18.06,17.71,17.99,17.72,350548.0,2020-11-14T02:00:00+0000,CAJ,IEXG
250,12.15,12.15,12.15,12.15,12.15,0.0,2020-11-14T02:00:00+0000,CHUEF,IEXG
251,27.82,28.28,27.8,28.21,27.78,410888.0,2020-11-14T02:00:00+0000,HMC,IEXG
252,74.5,75.36,74.4,75.3,75.51,22983.0,2020-11-14T02:00:00+0000,HTHIY,IEXG
253,56.825,57.39,56.45,57.39,57.48,6533.0,2020-11-14T02:00:00+0000,MARUY,IEXG
254,2.7,2.725,2.675,2.7,2.72,247913.0,2020-11-14T02:00:00+0000,MFG,IEXG
255,31.9662,31.9662,31.9662,31.9662,31.9662,0.0,2020-11-14T02:00:00+0000,TYHOF,IEXG
256,4.26,4.3879,4.26,4.34,4.27,494393.0,2020-11-14T02:00:00+0000,MUFG,IEXG
257,10.31,10.31,9.945,10.2,9.955,152949.0,2020-11-14T02:00:00+0000,PCRFY,IEXG
258,31.9,31.99,31.4,31.82,31.47,247291.0,2020-11-14T02:00:00+0000,SFTBY,IEXG
